Autor,CoAutores,Publicacion,Revista,Paginas,Anho
José Galdós Chávez,"Elian Laura Riveros, Juan C. Gutierrez Cáceres","Modification on Illumination, Distance Function and Gabor Mask for Elastic Bunch Graph Matching",The International Conference of the Chilean Computer Science Society (SCCC),,2016
Elian Laura Riveros,"José Galdós Chávez, Juan C. Gutierrez Cáceres",Analyzing the effect of hyperparameters in a automobile classifier based on convolutional neural networks,The International Conference of the Chilean Computer Science Society (SCCC),,2016
Dennis Barrios Aranibar,"Roger Ripas-Mamani, Claudia Cervantes-Jilaja, Yessica Rosas-Cuevas, Raquel E. Patino-Escarcina",A semi-automated approach for recognizing moving targets using a global vision system,Latin American Roboticas Simposium ,,2016
Dennis Barrios Aranibar,"Percy W. Lovon-Ramos, Yessica Rosas-Cuevas, Claudia Cervantes-Jilaja, Maria Tejada-Begazo, Raquel E. Patino-Escarcina",People Detection and Localization in Real Time during Navigation of Autonomous Robots,Latin American Roboticas Simposium ,,2016
Dennis Barrios Aranibar,"Percy W. Lovon-Ramos, Roger Ripas-Mamani, Yessica Rosas-Cuevas, Maria Tejada-Begazo, Renato Marroquin Mogrovejo ",Mixed Reality Applied to the Teleoperation of a 7-DOF Manipulator in Rescue Missions,Latin American Roboticas Simposium ,,2016
Josimar Edinson Chire Saire,Yván Túpac Valdivia,FP-AK-QIEA-R in protein folding applications,IEEE LA-CCI 2016 Conference Proceedings,,2016
Germaín García Zanabria,"Luis Gustavo Nonato, Erick Gomez Nieto",iStar (i*): An Interactive Star Coordinates Approach for High-Dimensional Data Exploration,Computer and Graphics - An International Journal,,2016
Jenny Copara Zea,"José Ochoa Luna, Camilo Thorne, Goran Glavas",Exploring unsupervised features in Conditional Random Fields for Spanish Named Entity Recognition,Proceedings of the 2016 Brazilian Conference on Intelligent Systems (BRACIS),,2016
Jenny Copara Zea,"José Ochoa Luna, Camilo Thorne, Goran Glavas, Heiner Stuckenschmidt",Conditional Random Fields for Spanish Named Entity Recognition using Unsupervised Features,Proceedings of the 15th Ibero-American Conference on Artificial Intelligence (IBERAMIA 2016),,2016
Aldo Culquicondor Ruiz,Cesar Castelo Fernandez,A New Parallel Training Algorithm for Optimun-Path Forest-Based Learning,"Progress in Pattern Recognition, image analysis, Computer Vision and Applications",,2016
Alejandro Camargo,Dennis Barrios Aranibar,δ-Radius Unified Influence Value Reinforcement Learning,"Distributed Computing and Artificial Intelligence, 13th International Conference",125-135,2016
Ismar Frango Silveira,"Antonio Silva Sprock, Virginia Rodés Paragarino, Yván Jesús Túpac Valdivia",Análise do uso de livros-texto digitais abertos no contexto da Educação Superior na América Latina,Revista RENOTE - Novas Tecnologias na Educação,"Vol 13, Numero 1",2015
Edward Hinojosa,"Yvan Túpac Valdivia, Heloisa Camargo",Learning fuzzy classification rules from imbalanced datasets using multi-objective evolutionary algorithm,2015 Latin America Congress on Computational Intelligence (LA-CCI),1-6,2015
Josimar Chire Saire,Yvan Túpac Valdivia,An approach to real-coded quantum inspired evolutionary algorithm using particles filter,2015 Latin America Congress on Computational Intelligence (LA-CCI),1-6,2015
Jorge Valverde Tohalino,"Javier Tejada C., Ernesto Cuadros V.",Comparing Supervised Learning Methods for Classifying Spanish Tweets,Proceedings of TASS 2015: Workshop on Sentiment Analysis at SEPLN co-located with 31st SEPLN Conference (SEPLN 2015),87-92,2015
Julio Santisteban,Ximena Aranzaens Cam,GPS Assistance Taximeter Suited to the Characteristics of a City,7th Latin American Workshop On Communications,40-45,2015
Julio Santisteban,Chris Talavera Ormeño,Design of Network Infrastructure of a Cloud Data Center for use in Health Sector,7th Latin American Workshop On Communications,30-35,2015
Julio Santisteban,Javier Tejada C.,Paradigmatic Clustering for NLP,2015 IEEE International Conference on Data Mining Workshop (ICDMW),814 - 820,2015
Ernesto Cuadros Vargas,"José Fager, W. Libardo Pantoja Yépez, Marisol Villacrés, Luz Andrea Páaez Martíinez , Daniel Ochoa",Libro - Estructuras de datos,"1a ed. - Iniciativa Latinoamericana de Libros de Texto Abiertos (LATIn), 2014. 222 pag.",,2014
Ernesto Cuadros Vargas,"Arnold Pears, Alison Clear, Lillian N. Cassel,Valentina Dagiene, Cary Laxer",ITiCSE: the next decade,"ITiCSE, Proceedings of the 2014 conference on Innovation & technology in computer science education",323,2014
Ernesto Cuadros Vargas,"Mehran Sahami, Steve Roach, Elizabeth K. Hawthorne, Amruth Kumar, Richard LeBlanc, David Reed, Remzi Seker",ACM/IEEE-CS computer science curricula 2013: implementing the final report,"SIGCSE, Proceedings of the 45th ACM technical symposium on Computer science education",175-176,2014
Yván Túpac Valdivia,"Julio Cesar Ponce Gallegos, Aurora Torres Soto, Fátima Sayuri Quezada Aguilera, Antonio Silva Sprock, Ember Ubeimar Martínez Flor, Ana Casali, Eliana Scheihing, Dolores Torres Soto, Francisco Javier Ornelas Zapata, José Alberto Hernández A., Crizpín Zavala D., Nodari Vakhnia, Oswaldo Pedreño",Libro - Inteligencia Artificial,"1a ed. - Iniciativa Latinoamericana de Libros de Texto Abiertos (LATIn), 2014. 225
pag.",,2014
Yván Túpac Valdivia,"Portugal, C., Gutiérrez, J.C., Beltrán C.",Classifier system for normality pre-diagnosis from MRI brain images in cerebral pathology studies,Latin American Congress on Computational Intelligence (LA-CCI),,2014
Juan Carlos Gutierrez Caceres,"Portugal, C., Túpac, Y., Beltrán C",Classifier system for normality pre-diagnosis from MRI brain images in cerebral pathology studies,Latin American Congress on Computational Intelligence (LA-CCI),,2014
Javier Tejada Cárcamo,"Аlexandra Kononovа, Mikhail Alexandrov, Dmitry Stefanovskiy",BAGGING ON SUBSPACES WITH BRAVERMAN ’S CLASSIFIERS,"International Conference on Intelligent Information and Engineering
Systems",,2014
Erick Gomez Nieto,"Frizzi San Roman, Paulo A. Pagliosa, Wallace Casaca, Elias S. Helou, Maria Cristina Ferreira de Oliveira, Luis Gustavo Nonato",Similarity Preserving Snippet-Based Visualization of Web Search Results,IEEE Trans. Vis. Comput. Graph. 20(3),457-470,2014
Frizzi San Roman,"Erick Gomez Nieto, Paulo A. Pagliosa, Wallace Casaca, Elias S. Helou, Maria Cristina Ferreira de Oliveira, Luis Gustavo Nonato",Similarity Preserving Snippet-Based Visualization of Web Search Results,IEEE Trans. Vis. Comput. Graph. 20(3),457-470,2014
José Eduardo Ochoa Luna,"René Garzozi, María Messina Scolaro , Cristian Moncada Marino, Griselda Ilabel Pérez, Ricardo Zambrano Segura ",Libro - Planes de Negocios para Emprendedores,"1a ed. - Iniciativa Latinoamericana de Libros de Texto Abiertos (LATIn), 2014. 150 pag.",,2014
Patricia Raquel Castillo Araníbar,"Ebert Gabriel San Román Castillo, Manuel Gustavo Sotomayor Polar, Lee Victoria Gonzales Fuentes, Efraín Zenteno Bolaños ",Libro - Aplicaciones y Teoría de Ingeniería de Microondas,"1a ed. - Iniciativa Latinoamericana de Libros de Texto Abiertos (LATIn), 2014. 108 pag.",,2014
Ernesto Cuadros Vargas,"Antonio Silva-Sprock, Danet Delgado Castillo, Yosly Hernandez-Bieliukas, César A. Collazos",Evolution of the Computing Curricula for Computer Science in Latin America 2013,"CLEI, Computing Conference (CLEI), 2013 XXXIX Latin American",1-10,2013
Ernesto Cuadros Vargas,"Mehran Sahami, Steve Roach, Richard LeBlanc",ACM/IEEE-CS computer science curriculum 2013: reviewing the ironman report,"SIGCSE, Proceeding of the 44th ACM technical symposium on Computer science education ",13-14,2013
Yván Túpac Valdivia,"Sánchez, F., Patiño, R.",OVMMSOM: A variation of MMSOM and VMSOM as a clusterization technique,Proceedings of the XXXII International Conference of the Chilean Computer Science Society SCCC,,2013
Yván Túpac Valdivia,"Arroyo, V.",Selección Sexual Discriminatoria en un Algoritmo Evolutivo con una Matriz de Preferencias para la mejora de calidad de los Horarios de Trabajo,"Proceedings of the XII Congreso de la Sociedad Peruana de Computación, Chiclayo, Perú",9-16,2013
Yván Túpac Valdivia,"Herrera, J. A., Yari, Y.",Modelo Estocástico a partir de Razonamiento basado en casos para la generación de series temporales,"Proceedings of the XII Congreso de la Sociedad Peruana de Computación, Chiclayo, Perú",49-57,2013
Yván Túpac Valdivia,"Sánchez, F., Patiño, R.",OVMMSOM: Una variación del MMSOM y VMSOM como técnica de clusterización,"Proceedings of the XII Congreso de la Sociedad Peruana de Computación, Chiclayo, Perú",145-149,2013
Raquel Patiño Escarcina,"Sánchez, F., Túpac, Y.",OVMMSOM: A variation of MMSOM and VMSOM as a clusterization technique,Proceedings of the XXXII International Conference of the Chilean Computer Science Society SCCC,,2013
Raquel Patiño Escarcina,"Sánchez, F., Túpac, Y.",OVMMSOM: Una variación del MMSOM y VMSOM como técnica de clusterización,"Proceedings of the XII Congreso de la Sociedad Peruana de Computación, Chiclayo, Perú",145-149,2013
Cristian Jose Lopez Del Alamo,"Lizeth Joseline Fuentes Perez, Luciano Arnaldo Romero Calla, Wilber Roberto Ramos Lovon",A novel approach for image feature extraction using HSV model color and niters wavelets,"CLEI, Computing Conference (CLEI), 2013 XXXIX Latin American",1-7,2013
